all,sb,arm,drive
9.99,14.29,40.65,48.99
33.57,13.83,10.02,72.09
7.94,6.8,21.05,86.74
30.48,36.48,262.41,46.74
12.33,14.5,48.15,26.24
28.63,8.65,8.12,41.41
32.97,15.12,24.55,33.15
28.36,1.95,24.04,35.13
2.49,18.46,270.92,67.04
35.95,4.57,38.58,37.39
8.46,4.38,45.46,18.84
8.37,26.57,26.13,58.69
29.94,6.87,18.19,48.98
21.57,14.77,12.09,9.95
31.23,2.99,25.3,36.11
1.4,9.03,24.01,50.85
6.39,31.29,11.43,42.06
33.39,15.05,11.21,35.22
12.9,6.88,26.26,39.77
22.81,18.99,4.04,79.68
26.82,3.95,18.22,69.08
15.65,36.91,17.23,30.03
17.82,14.81,4.52,43.34
11.13,27.3,16.43,39.16
28.03,19.48,4.37,41.69
26.06,17.62,22.46,54.04
36.15,20.47,16.63,43.62
28.3,20.43,9.45,46.65
15.81,21.32,31.2,66.22
6.48,26.48,5.01,28.32
17.38,34,30.77,50.84
52.77,18.28,19.57,51.11
17.23,14.11,4.84,51.56
7.75,10.92,27.8,62.65
14.46,16.9,24.16,41.95
22.12,13.12,3.42,42.4
17.03,28.25,3.98,58.18
14.75,5.77,24.23,128.26
12.64,6.61,19.48,51.64
16.29,20.48,12.45,44.29
23.97,27.52,15.67,67.47
16.08,17,5.55,67.61
84.66,23.3,12.45,55.78
10.78,32.96,5.42,81.26
14.89,19.94,29.67,25.24
5.18,26.16,22.21,30.19
29.3,12.58,11.69,79.91
9.59,21.63,4.02,46.18
16.95,20.52,6.56,75.6
5.07,3.97,16.78,44.57
15.45,18.6,54.19,
21.25,25.42,19.46,
8.27,25.75,7.02,
15.25,13.44,197.98,
18.13,20.5,26.41,
9.36,5.67,31.74,
17.87,4.19,7.73,
22.9,8.35,13.52,
0.98,26.02,14.54,
30.08,15.81,38.7,
8.6,19.22,11.42,
34.11,22.03,10.62,
32.13,32.68,15.21,
19.3,5.01,42.33,
29.83,2.25,11.96,
8.34,18.6,22.55,
37.3,21.53,4.61,
43.44,33.94,8.08,
19.64,26.72,25.92,
18.59,23.68,31.54,
17.26,18.3,22.49,
7.32,22.42,13.76,
6.91,20.56,20.54,
8.04,8.68,3.91,
22.32,24.73,68.04,
35.45,30.08,10.95,
16.92,2.55,31.53,
44.42,14.97,227.35,
7.45,20.28,33.55,
14,26.59,41.28,
35.63,14.31,8.18,
12.02,23.92,12.64,
11.88,21.92,4.2,
22.86,8.9,14.46,
39.31,17.14,3.79,
14.91,9.05,36.92,
70.28,25.96,232.15,
7.22,26.03,31.77,
27.3,27.86,12.8,
25.19,11.16,14.74,
63.03,9.83,13.93,
12.08,38.44,31.8,
34.07,13.88,4.28,
22.04,9.94,55.59,
2.29,26.74,10.9,
43.82,21.08,170.57,
1.99,22.31,20.49,
38.67,13.87,17.92,
10.9,9.62,14.77,
20.31,18.72,9.99,
42.85,20.61,116.88,
23.06,7.49,25.46,
10.83,12.53,29.34,
41.15,21.44,20.31,
17.57,16.15,6.49,
11.61,20.74,39.1,
42.94,18.39,22.71,
22.53,9.27,6.54,
91.9,17.91,10.04,
11.32,28.89,17.61,
11.83,4.36,4.1,
6.57,4.25,32.62,
13.5,3.96,3.34,
24.99,3.99,4.62,
31.64,4.26,20.18,
18.03,4.34,17.81,
24.1,4.37,11.98,
8.01,2.76,33.54,
11.34,13.54,9.65,
27.55,7.01,3.87,
2.46,10.64,57.28,
2.91,8.1,183.61,
18.58,23.39,37.05,
14.69,30.47,8.43,
8.61,18.6,26.38,
46.62,25.12,58.3,
44.4,12.03,18.09,
11.59,23.76,35.98,
10.03,20.66,8.26,
13.8,25.62,16.05,
44.84,15.89,14.22,
13.45,13.71,11.06,
12.08,43.31,7.69,
17.86,22.69,8.51,
12.7,71.17,5.05,
15.19,25.35,12.77,
32.22,5.42,16.3,
15.85,20.57,4.61,
12.57,21.77,5.05,
5.15,22.89,7.09,
10.28,30.9,13.34,
35.57,6.49,8.52,
16.66,5.23,19.78,
58.67,24.65,172.8,
10.91,2.36,36.69,
19.3,6.99,51.65,
105.44,16.07,14.03,
24.49,24.24,15.49,
47.07,18.74,45.34,
2.45,8.38,11.5,
2.91,36.53,13.49,
11.73,11.72,11.44,
10.62,25.98,19.99,
18.72,15.59,13.67,
9.08,8.62,3.21,
56.34,12.17,11.35,
28.7,14.44,11.56,
34.28,24.52,19.74,
23.39,8.08,2.99,
53.34,8.45,10.14,
5.64,28.11,16.43,
47.38,21.4,10.09,
15.36,20.46,16.65,
51.6,2.93,8.77,
2.53,14.09,12.49,
65.27,21.68,5.51,
19.6,12.22,52.77,
32.88,8.03,3.44,
12.4,15.27,32.99,
13.24,5.36,6.77,
23.8,14.77,3.8,
11,10.36,14.16,
8.65,20.06,10.96,
12.81,0.78,23.28,
6.63,12.36,40.01,
10.86,10.81,11.6,
22.53,34.8,9.37,
2.41,25.67,14.26,
2.87,4.46,25.91,
18.35,30.41,18.08,
35.42,21.57,2.27,
2.02,9.98,11.07,
41.38,3.54,5.58,
13.55,10.91,10.07,
24.98,11.36,48.39,
39.87,10.5,8.74,
15.93,10.44,120.58,
50.62,11.42,29.33,
7.61,12.16,6.78,
7.25,16.92,41.8,
15.51,24.22,33.95,
70.44,34.62,15.17,
29.6,17,10.92,
33.21,21.23,8.29,
12.1,6.12,25.96,
19.89,11.04,20.36,
15.91,31.9,121.91,
16.09,13.84,24.13,
9.32,19.83,29.91,
20.73,13.83,14.11,
1.99,13.77,12.84,
28.51,8.26,27.6,
22.22,15.91,38.51,
18.72,8.34,30.27,
11.33,37.72,91.36,
28.81,35.17,37.62,
12.11,6.25,52.98,
38.86,13.19,6.52,
38.58,35.97,10.65,
57.8,10.03,31.37,
7.49,26.32,9.82,
25.6,7.49,28.95,
40.88,9.07,29.66,
50.75,7.48,55.63,
19.79,8.47,62.86,
19.63,11.53,87.81,
15.1,20.57,134.34,
50.48,8.82,57.46,
22.71,5.71,11.65,
43.01,6.97,89.82,
44.89,4.91,49.18,
1.17,2.95,32.19,
14.14,20.86,31.97,
39.04,0.6,16.59,
23.38,7.73,17.43,
28.87,4.02,34.43,
0.77,7.41,43.54,
17.6,4.95,50.97,
0.77,12.75,30.8,
3,8.99,21.48,
33.49,21.95,46.85,
12.22,49.64,28.34,
31.27,17.5,40.72,
8.76,21.84,15.39,
12.42,9.15,55.64,
47.6,6.5,24.43,
17.86,18.03,54.67,
4.62,5.45,5.54,
1.67,1.36,60.33,
35.87,5.6,53.93,
27.2,18.59,40.37,
4.68,33.87,21.14,
4.86,2.4,32.06,
