all,sb,arm,drive
-7.051,-8.559,-2.912,
-6.751,-0.531,-2.91,
-42.646,-2.318,-5.773,
-0.169,-19.355,-1.865,
-2.988,-8.449,-7.811,
-8.812,-7.436,-12.928,
-11.954,-5.264,-4.442,
-29.636,0.719,-1.12,
-0.98,-6.386,-12.814,
-4.995,-14.64,-2.947,
-1.376,-3.323,-20.954,
-6.842,-13.363,-9.013,
-17.194,-11.595,-3.937,
-6.281,-20.579,-31.263,
-0.511,-15.233,-7.22,
-26.363,-7.723,-14.975,
0.854,-2.276,-2.646,
0.474,-8.015,-7.397,
-1.501,-5.201,-24.653,
-8.031,-12.188,-2.023,
-18.016,-5.221,-5.55,
-0.451,-12.739,-251.409,
-7.6,-4.335,-32.65,
-6.18,-10.619,-3.118,
-0.363,-6.447,-9.047,
-0.601,-2.831,-3.542,
-6.9,-3.623,-259.921,
-5.594,-11.669,-23.076,
-18.368,-5.155,-24.965,
-0.404,-11.931,-10.626,
-0.011,-6.705,-3.189,
-4.83,-4.402,-1.089,
-0.401,-13.179,-9.803,
-0.602,-5.215,-9.008,
-2.427,-9.436,-2.428,
-9.406,-2.19,-2.707,
8.09,-7.166,-15.764,
-0.024,-2.733,-1.039,
-2.997,-2.009,-3.219,
-0.861,-2.569,-2.231,
-30.828,-6.406,-1.521,
-12.385,-2.927,-2.929,
-3.241,-2.348,-1.371,
-5.721,-5.495,-12.456,
-6.188,-6.388,-6.128,
-22.701,-2.865,-3.948,
0.003,-5.949,-15.698,
-0.382,-8.815,-1.007,
-5.553,-11.933,-15.768,
-24.169,-1.696,-4.068,
-1.304,-1.388,-0.837,
-15.313,-6.454,-12.797,
-2.25,-12.089,-11.764,
-8.303,-2.242,-0.42,
-17.699,-4.673,-0.977,
-6.872,-7.7,-9.23,
-11.71,-4.061,-8.475,
-4.59,-2.606,-1.947,
-3.954,-3.754,-4.668,
-2.858,-3.276,-0.552,
-21.895,-2.454,-1.95,
0.308,-0.574,-1.916,
0.258,-3.544,-14.172,
-3.947,-5.661,-7.207,
-2.814,-4.975,-5.687,
-22.676,-6.778,-1.017,
-10.994,-4.548,-1.56,
-0.627,-1.519,-6.785,
-0.628,-2.684,-26.686,
-13.742,-2.258,-9.462,
-11.759,0.864,-3.516,
-3.488,-3.997,-166.975,
0.051,-1.741,-15.907,
-0.874,0.896,-15.239,
-21.267,-5.287,2.272,
-47.696,-5.708,-5.024,
-8.49,-12.177,-4.544,
0.098,-9.703,-27.195,
-16.454,1.432,-1.418,
-14.514,-7.32,-1.624,
-2.507,-3.749,-2.212,
-9.92,-0.943,-14.334,
-0.556,-1.396,12.013,
-15.509,-6.556,-8.963,
-0.528,-6.375,-7.051,
-48.787,-2.736,0.389,
-15.462,-0.281,-2.58,
-56.84,-0.556,-17.422,
10.523,-5.805,-21.537,
-4.582,-4.206,-12.489,
-0.424,-19.881,1.221,
-6.757,-5.373,-4.544,
-10.166,-0.454,-0.91,
-0.627,-7.808,-24.042,
-0.638,4.489,-3.449,
-1.608,-2.775,-0.527,
-0.095,-12.37,-196.346,
-0.566,-4.762,-19.551,
-0.347,-3.746,-26.282,
-0.767,-2.987,-2.683,
-4.264,-6.61,-2.635,
-2.147,-5.99,-1.196,
-0.794,-2.593,-4.463,
-0.752,-2.963,-0.792,
-0.421,-2.646,-26.424,
-1.164,-6.693,-202.154,
-0.769,-2.353,-21.269,
-0.768,0.335,-4.302,
-13.88,-2.898,-4.243,
-0.069,-4.427,-3.431,
-0.802,-0.762,-16.795,
-0.45,-3.014,-1.277,
-5.26,-4.448,-25.09,
0.882,-9.184,-0.896,
-1.286,-4.76,-137.572,
-7.148,-2.052,-14.993,
