all,sb,arm,drive
5.86,12.64,,
15.95,23.33,,
23.82,6.08,,
48.87,32.43,,
24.43,8.89,,
11.7,6.43,,
3.89,8.44,,
18.45,22.16,,
42.13,5.36,,
6.38,5.3,,
23.09,5.12,,
16.41,5.26,,
15.67,5.4,,
42.98,13.58,,
7.6,2.92,,
17.7,22.19,,
27.04,17.27,,
14.06,17.11,,
12.61,9.33,,
29.14,18.66,,
3.94,40.11,,
18.75,18.61,,
8.28,10.39,,
34.24,23.39,,
44.36,10.09,,
17.45,28.24,,
26.84,17.73,,
5.57,8.18,,
6.99,15.16,,
13.54,17.91,,
26.33,22.37,,
16.64,32.8,,
22.28,6.63,,
39.58,26.08,,
20.8,14.4,,
11.62,19.44,,
10.48,53.79,,
17.94,13.86,,
21.2,15.85,,
19.28,1.1,,
43.1,3.68,,
32.05,1.11,,
16.86,1.11,,
10.05,1.1,,
32.07,1.09,,
7.01,2.05,,
3.02,1.12,,
9.02,1.11,,
37.41,15.52,,
6.68,9.72,,
12.26,23.27,,
38.24,1.83,,
0.14,6.0,,
7.63,20.19,,
15.0,18.29,,
18.27,19.39,,
11.51,18.35,,
15.61,21.86,,
6.74,21.52,,
29.49,9.59,,
16.39,25.12,,
3.1,5.7,,
25.29,17.49,,
36.35,28.68,,
6.89,8.99,,
15.71,5.63,,
33.37,15.3,,
2.74,21.62,,
28.7,5.35,,
59.02,15.97,,
32.18,16.55,,
14.18,4.97,,
24.7,24.66,,
38.07,29.47,,
1.23,28.32,,
8.57,14.33,,
22.32,32.75,,
16.16,18.87,,
19.75,31.78,,
3.94,6.24,,
42.23,20.46,,
11.4,5.46,,
19.56,18.26,,
34.8,6.25,,
2.63,6.01,,
15.38,29.48,,
40.12,6.39,,
5.74,7.4,,
9.78,18.84,,
3.06,0.94,,
14.92,13.05,,
20.81,8.77,,
25.65,6.0,,
14.21,0.99,,
37.88,9.83,,
21.67,0.99,,
27.61,1.0,,
2.27,11.35,,
10.37,9.4,,
10.45,16.7,,
6.57,12.67,,
29.32,16.27,,
5.4,6.58,,
22.81,12.78,,
5.51,6.71,,
7.77,18.32,,
32.43,8.09,,
22.37,6.38,,
22.67,2.69,,
15.26,8.72,,
39.41,18.55,,
17.94,16.71,,
17.75,10.41,,
22.98,14.62,,
8.06,30.05,,
22.99,8.74,,
64.11,13.89,,
21.61,18.1,,
22.36,3.31,,
58.72,17.88,,
15.99,3.82,,
42.16,10.74,,
18.16,4.29,,
7.59,15.98,,
16.87,12.48,,
10.46,16.7,,
42.64,20.68,,
18.23,34.47,,
9.98,6.47,,
31.2,26.98,,
20.7,25.43,,
22.69,12.93,,
8.35,24.73,,
2.67,40.16,,
7.9,24.08,,
16.93,16.1,,
5.76,22.65,,
7.01,31.16,,
14.45,15.77,,
2.82,12.6,,
24.18,8.61,,
0.54,25.69,,
12.04,28.4,,
8.38,8.44,,
17.89,5.17,,
11.04,20.24,,
24.92,19.78,,
7.05,76.77,,
17.44,4.25,,
12.91,17.69,,
41.11,11.09,,
43.08,60.57,,
6.31,26.25,,
91.49,16.78,,
15.78,10.29,,
47.21,14.82,,
18.76,15.05,,
8.88,4.94,,
7.52,22.69,,
10.81,10.29,,
40.87,11.71,,
3.14,7.87,,
12.25,10.02,,
7.32,6.15,,
12.52,21.6,,
9.01,6.12,,
11.16,16.26,,
8.92,20.24,,
14.57,3.49,,
41.03,3.44,,
41.53,3.12,,
15.95,6.49,,
2.22,25.96,,
26.51,6.58,,
24.68,31.34,,
0.8,2.43,,
63.11,7.18,,
94.14,3.44,,
18.76,24.5,,
33.89,1.19,,
18.1,19.18,,
14.68,6.11,,
43.82,21.2,,
12.42,24.71,,
11.8,17.83,,
22.46,22.42,,
16.68,38.59,,
18.74,7.6,,
27.8,27.45,,
35.87,21.21,,
20.0,14.99,,
8.31,10.42,,
9.01,15.64,,
20.78,7.02,,
36.44,2.24,,
18.89,26.19,,
11.05,2.83,,
49.72,34.16,,
10.51,10.03,,
12.03,21.25,,
26.93,14.98,,
10.18,5.82,,
41.13,31.13,,
20.02,8.52,,
3.02,23.41,,
13.02,16.07,,
40.5,29.37,,
18.35,30.79,,
17.42,8.39,,
8.08,23.33,,
15.96,16.02,,
16.79,6.54,,
7.57,30.67,,
25.41,25.92,,
6.91,16.7,,
8.5,4.11,,
6.96,12.43,,
20.32,15.56,,
26.17,11.73,,
46.1,8.2,,
20.33,23.69,,
35.27,1.83,,
3.47,16.26,,
32.76,7.56,,
32.12,6.46,,
10.18,8.41,,
6.94,24.47,,
16.95,11.52,,
15.11,15.46,,
28.74,4.98,,
17.37,21.8,,
38.8,17.07,,
22.71,41.44,,
23.78,5.25,,
13.67,4.49,,
9.16,17.59,,
11.58,17.43,,
26.48,10.41,,
2.26,17.91,,
9.54,1.53,,
40.71,3.01,,
15.55,8.5,,
31.4,2.71,,
16.35,2.47,,
7.28,20.61,,
41.73,17.55,,
26.28,8.19,,
49.11,13.19,,
6.18,7.97,,
29.01,9.79,,
58.76,8.84,,
190.25,15.69,,
1.91,7.81,,
15.11,4.34,,
30.4,9.85,,
16.94,4.71,,
12.94,3.53,,
55.0,8.91,,
14.42,4.35,,
16.1,20.49,,
29.06,16.33,,
12.35,5.11,,
16.35,11.88,,
9.44,29.49,,
31.2,19.06,,
19.17,6.21,,
25.92,10.15,,
53.8,0.81,,
8.96,12.9,,
70.94,13.92,,
15.48,5.52,,
9.48,19.55,,
69.34,7.79,,
4.13,14.12,,
11.91,12.64,,
3.06,9.65,,
27.62,13.91,,
17.06,10.1,,
3.45,16.44,,
43.62,6.81,,
12.08,5.18,,
17.42,11.86,,
13.49,8.74,,
37.3,11.45,,
101.24,14.44,,
3.02,19.2,,
14.11,11.72,,
30.9,13.65,,
6.19,1.97,,
24.01,6.34,,
12.25,7.68,,
17.93,9.75,,
73.39,14.31,,
5.79,9.01,,
30.4,18.2,,
5.1,5.22,,
17.2,7.66,,
26.61,11.65,,
69.11,13.28,,
16.11,1.28,,
10.72,19.57,,
16.87,4.12,,
9.2,17.04,,
39.84,2.2,,
6.07,10.4,,
9.27,12.27,,
23.89,6.53,,
12.32,10.71,,
33.25,17.68,,
5.72,10.73,,
25.66,12.53,,
13.98,15.04,,
16.45,13.25,,
13.08,16.63,,
50.37,7.51,,
22.31,8.44,,
8.36,11.59,,
9.51,5.05,,
143.79,10.75,,
85.94,9.28,,
105.49,2.79,,
5.76,9.93,,
1.99,11.11,,
50.91,9.48,,
11.02,6.61,,
22.68,11.06,,
3.81,2.76,,
49.78,16.61,,
32.31,2.5,,
28.75,10.95,,
27.29,16.75,,
4.78,1.17,,
7.38,10.89,,
42.46,16.28,,
8.01,5.4,,
38.73,6.09,,
5.54,8.25,,
11.83,38.12,,
19.46,8.87,,
6.16,15.95,,
8.87,16.15,,
52.79,13.79,,
35.82,7.39,,
17.85,6.35,,
43.17,4.88,,
4.07,10.53,,
10.2,14.04,,
22.84,14.51,,
24.01,14.8,,
4.28,4.59,,
14.47,15.15,,
62.95,14.91,,
21.04,6.34,,
55.2,26.23,,
17.17,10.74,,
5.65,9.82,,
15.69,7.4,,
42.68,17.05,,
7.51,12.57,,
11.92,6.3,,
42.86,16.23,,
27.7,8.72,,
13.1,23.62,,
40.17,20.26,,
10.2,12.96,,
11.45,14.54,,
20.69,23.97,,
5.23,9.95,,
31.84,10.41,,
6.02,4.33,,
7.36,16.34,,
3.57,6.87,,
11.67,2.61,,
58.66,2.55,,
5.62,21.71,,
3.02,19.55,,
3.02,29.31,,
18.16,7.0,,
10.37,1.58,,
8.5,22.26,,
26.93,15.09,,
56.23,5.54,,
9.73,9.39,,
23.46,14.22,,
11.74,1.7,,
8.75,6.96,,
30.42,7.1,,
57.94,3.83,,
5.41,5.35,,
14.68,2.84,,
11.09,13.88,,
48.55,2.2,,
16.56,6.21,,
44.5,12.68,,
3.91,14.07,,
24.09,14.06,,
9.78,10.83,,
51.71,15.58,,
11.28,4.23,,
21.8,13.84,,
6.99,4.35,,
39.98,8.96,,
26.42,7.58,,
21.25,20.25,,
5.09,2.7,,
29.88,9.19,,
64.96,4.32,,
6.33,8.36,,
2.03,14.62,,
8.34,9.35,,
42.73,10.33,,
9.5,18.04,,
11.19,25.07,,
16.89,3.42,,
19.74,16.73,,
21.18,4.74,,
31.27,8.95,,
12.01,5.29,,
3.35,16.81,,
16.2,11.28,,
22.88,2.81,,
16.86,5.16,,
3.78,12.35,,
8.93,13.61,,
39.8,,,
3.1,,,
24.72,,,
29.85,,,
7.87,,,
2.41,,,
36.59,,,
2.02,,,
4.94,,,
6.35,,,
1.98,,,
47.68,,,
31.52,,,
1.58,,,
0.75,,,
8.12,,,
41.33,,,
7.82,,,
14.89,,,
3.46,,,
1.49,,,
6.18,,,
13.73,,,
1.49,,,
10.1,,,
2.17,,,
18.85,,,
11.23,,,
21.14,,,
1.49,,,
8.48,,,
21.45,,,
16.61,,,
1.49,,,
7.06,,,
1.46,,,
25.66,,,
3.66,,,
26.36,,,
17.88,,,
3.52,,,
10.66,,,
6.55,,,
1.62,,,
30.63,,,
19.32,,,
40.83,,,
5.98,,,
10.89,,,
21.6,,,
7.36,,,
19.0,,,
39.81,,,
11.32,,,
19.08,,,
22.07,,,
3.86,,,
1.35,,,
70.05,,,
13.4,,,
52.72,,,
16.6,,,
16.85,,,
18.72,,,
24.02,,,
24.35,,,
21.77,,,
20.0,,,
347.4,,,
17.07,,,
11.72,,,
13.82,,,
43.91,,,
4.38,,,
27.48,,,
19.59,,,
5.69,,,
37.44,,,
14.73,,,
11.73,,,
22.09,,,
27.49,,,
1.91,,,
46.45,,,
5.84,,,
6.17,,,
27.84,,,
16.41,,,
18.41,,,
9.72,,,
36.11,,,
21.47,,,
14.41,,,
8.12,,,
37.03,,,
13.12,,,
19.27,,,
2.03,,,
7.37,,,
14.94,,,
5.85,,,
9.51,,,
13.36,,,
5.23,,,
6.86,,,
23.81,,,
18.71,,,
41.89,,,
19.19,,,
27.38,,,
15.77,,,
12.51,,,
28.43,,,
7.94,,,
41.5,,,
3.02,,,
4.83,,,
18.19,,,
142.98,,,
14.7,,,
5.65,,,
24.94,,,
3.62,,,
20.1,,,
5.98,,,
22.18,,,
1.73,,,
0.92,,,
10.93,,,
27.81,,,
10.6,,,
10.95,,,
17.53,,,
50.95,,,
16.04,,,
13.38,,,
32.51,,,
8.44,,,
17.62,,,
16.7,,,
14.59,,,
61.26,,,
18.22,,,
9.75,,,
13.92,,,
19.33,,,
25.97,,,
13.02,,,
13.65,,,
37.9,,,
24.78,,,
40.65,,,
10.02,,,
21.05,,,
9.86,,,
21.22,,,
7.24,,,
2.07,,,
2.52,,,
262.41,,,
26.17,,,
48.15,,,
8.12,,,
9.91,,,
24.55,,,
24.04,,,
7.49,,,
18.44,,,
17.15,,,
5.28,,,
10.2,,,
13.02,,,
270.92,,,
38.58,,,
17.71,,,
45.46,,,
10.92,,,
9.93,,,
30.0,,,
53.05,,,
29.81,,,
35.95,,,
64.24,,,
57.32,,,
6.35,,,
11.96,,,
26.13,,,
49.05,,,
9.7,,,
7.73,,,
13.86,,,
1.83,,,
1.69,,,
18.19,,,
12.13,,,
43.66,,,
8.95,,,
42.29,,,
5.46,,,
12.09,,,
20.19,,,
47.16,,,
30.89,,,
31.95,,,
25.3,,,
24.01,,,
12.96,,,
37.28,,,
7.27,,,
19.89,,,
13.15,,,
22.24,,,
45.44,,,
3.46,,,
12.64,,,
41.17,,,
18.24,,,
23.33,,,
6.08,,,
11.43,,,
11.21,,,
26.26,,,
1.39,,,
4.04,,,
32.43,,,
8.89,,,
6.43,,,
15.04,,,
8.44,,,
38.63,,,
25.85,,,
22.16,,,
5.36,,,
